2024-12-26 23:16:24 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 7.0.0.Final
2024-12-26 23:16:24 [main] INFO  c.s.c.CampaignApiApplication - Starting CampaignApiApplication using Java 17.0.8.1 with PID 14680 (D:\project\camp-api\campaignapi\target\classes started by shibi in D:\project\camp-api\campaignapi)
2024-12-26 23:16:24 [main] INFO  c.s.c.CampaignApiApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-26 23:16:24 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-26 23:16:24 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 10 JPA repository interfaces.
2024-12-26 23:16:25 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (https)
2024-12-26 23:16:25 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8443"]
2024-12-26 23:16:25 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-12-26 23:16:25 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-12-26 23:16:25 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2024-12-26 23:16:25 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1176 ms
2024-12-26 23:16:25 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-26 23:16:25 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.9.Final
2024-12-26 23:16:25 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-12-26 23:16:25 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-12-26 23:16:25 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-12-26 23:16:25 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-26 23:16:26 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@64c95480
2024-12-26 23:16:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-26 23:16:26 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-12-26 23:16:27 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-12-26 23:16:27 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-26 23:16:27 [main] INFO  c.s.c.service.AuthenticationService - AuthenticationService initialized.
2024-12-26 23:16:27 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.slf4j.Logger com.shiel.campaignapi.service.BookingService.logger
2024-12-26 23:16:27 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@47baf547, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@fffb4a8, org.springframework.security.web.context.SecurityContextHolderFilter@4cce889e, org.springframework.security.web.header.HeaderWriterFilter@53ccbc15, org.springframework.security.web.authentication.logout.LogoutFilter@4c25687b, com.shiel.campaignapi.config.JwtAuthenticationFilter@2314f013, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77a35b2f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d642682, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5dc90de7, org.springframework.security.web.session.SessionManagementFilter@c8e99, org.springframework.security.web.access.ExceptionTranslationFilter@55b7f0d, org.springframework.security.web.access.intercept.AuthorizationFilter@152bb4cc]
2024-12-26 23:16:27 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8443"]
2024-12-26 23:16:28 [main] INFO  o.a.t.u.net.NioEndpoint.certificate - Connector [https-jsse-nio-8443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [C:\Users\shibi\.keystore] using alias [shielbiblehome] with trust store [null]
2024-12-26 23:16:28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (https) with context path '/api'
2024-12-26 23:16:28 [main] INFO  c.s.c.CampaignApiApplication - Started CampaignApiApplication in 4.193 seconds (process running for 4.932)
2024-12-26 23:17:35 [https-jsse-nio-8443-exec-6] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-26 23:17:35 [https-jsse-nio-8443-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-26 23:17:35 [https-jsse-nio-8443-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
